UF;Municipio;Automóvel;Caminhão;Caminhonete;Motocicleta;Ônibus;Utilitário;Outros;Total
MG;SAO GONCALO DO SAPUCAI;7264;525;1142;1815;93;51;1100;11990
MG;SAO GOTARDO;12777;1118;3154;4357;309;157;2138;24010
MG;SAO JOAO BATISTA DO GLORIA;2045;167;410;1482;22;30;202;4358
MG;SAO JOAO DA LAGOA;444;49;137;383;16;2;78;1109
MG;SAO JOAO DA MATA;973;65;185;468;5;4;104;1804
MG;SAO JOAO DA PONTE;2151;88;377;3316;79;9;291;6311
MG;SAO JOAO DAS MISSOES;416;46;164;1321;31;1;59;2038
MG;SAO JOAO DEL REI;28129;1292;3506;15069;243;402;5871;54512
MG;SAO JOAO DO MANHUACU;2679;200;543;1651;51;15;294;5433
MG;SAO JOAO DO MANTENINHA;777;93;147;1112;10;4;256;2399
MG;SAO JOAO DO ORIENTE;1343;128;250;1153;15;6;186;3081
MG;SAO JOAO DO PACUI;296;23;56;416;12;0;46;849
MG;SAO JOAO DO PARAISO;3002;252;660;4445;133;13;809;9314
MG;SAO JOAO EVANGELISTA;3371;150;651;2578;50;12;382;7194
MG;SAO JOAO NEPOMUCENO;7322;311;919;3753;29;79;934;13347
MG;SAO JOAQUIM DE BICAS;7580;636;982;1817;69;38;1953;13075
MG;SAO JOSE DA BARRA;2039;130;367;585;36;45;292;3494
MG;SAO JOSE DA LAPA;8674;1250;1443;2916;482;111;1807;16683
MG;SAO JOSE DA SAFIRA;210;9;64;556;9;1;38;887
MG;SAO JOSE DA VARGINHA;744;67;136;858;20;2;116;1943
MG;SAO JOSE DO ALEGRE;966;49;153;418;8;4;103;1701
MG;SAO JOSE DO DIVINO;363;20;91;648;17;1;62;1202
MG;SAO JOSE DO GOIABAL;997;73;128;603;41;3;170;2015
MG;SAO JOSE DO JACURI;805;51;143;1079;9;2;116;2205
MG;SAO JOSE DO MANTIMENTO;421;44;75;659;5;0;51;1255
MG;SAO LOURENCO;14208;612;1878;7269;65;311;2587;26930
MG;SAO MIGUEL DO ANTA;1283;96;239;1384;15;3;126;3146
MG;SAO PEDRO DA UNIAO;1635;143;385;1130;22;6;150;3471
MG;SAO PEDRO DO SUACUI;673;48;116;660;12;5;82;1596
MG;SAO PEDRO DOS FERROS;1398;106;174;722;45;3;142;2590
MG;SAO ROMAO;849;56;250;909;20;9;261;2354
MG;SAO ROQUE DE MINAS;2177;238;859;1351;38;100;221;4984
MG;SAO SEBASTIAO DA BELA VISTA;1230;138;199;460;19;4;220;2270
MG;SAO SEBASTIAO DA VARGEM ALEGRE;666;50;118;567;10;0;89;1500
MG;SAO SEBASTIAO DO ANTA;1039;82;295;1287;11;2;111;2827
MG;SAO SEBASTIAO DO MARANHAO;822;33;150;1533;31;1;175;2745
MG;SAO SEBASTIAO DO OESTE;1422;192;252;796;65;8;210;2945
MG;SAO SEBASTIAO DO PARAISO;27832;1733;4042;8467;261;321;5825;48481
MG;SAO SEBASTIAO DO RIO PRETO;182;10;40;224;6;2;19;483
MG;SAO SEBASTIAO DO RIO VERDE;498;24;85;242;10;2;45;906
MG;SAO TIAGO;3389;308;610;1079;37;7;341;5771
MG;SAO TOMAS DE AQUINO;2341;121;416;424;18;11;217;3548
MG;SAO TOME DAS LETRAS;932;104;197;528;41;14;109;1925
MG;SAO VICENTE DE MINAS;1773;144;332;407;12;21;211;2900
MG;SAPUCAI-MIRIM;2197;240;331;816;13;14;293;3904
MG;SARDOA;1052;75;225;1580;17;3;192;3144
MG;SARZEDO;9283;984;1321;2130;129;65;1369;15281
MG;SEM-PEIXE;376;20;56;414;15;1;22;904
MG;SENADOR AMARAL;1553;147;594;917;20;4;133;3368
MG;SENADOR CORTES;488;33;72;186;5;2;47;833
MG;SENADOR FIRMINO;2194;140;365;2583;40;13;278;5613
MG;SENADOR JOSE BENTO;382;15;71;94;9;1;24;596
MG;SENADOR MODESTINO GONCALVES;498;36;142;502;15;1;42;1236
MG;SENHORA DE OLIVEIRA;1120;100;196;859;13;7;97;2392
MG;SENHORA DO PORTO;470;33;94;536;16;0;47;1196
MG;SENHORA DOS REMEDIOS;2055;163;291;2124;32;18;322;5005
MG;SERICITA;1620;111;489;1622;11;10;138;4001
MG;SERITINGA;509;30;79;122;4;4;56;804
MG;SERRA AZUL DE MINAS;340;21;102;562;13;0;63;1101
MG;SERRA DA SAUDADE;257;10;83;31;2;1;21;405
MG;SERRA DO SALITRE;3364;320;702;851;122;15;517;5891
MG;SERRA DOS AIMORES;850;91;130;703;37;3;234;2048
MG;SERRANIA;2058;136;287;570;28;8;270;3357
MG;SERRANOPOLIS DE MINAS;300;26;89;875;28;1;49;1368
MG;SERRANOS;510;31;83;185;5;1;49;864
MG;SERRO;3534;225;754;2407;90;31;322;7363
MG;SETE LAGOAS;72645;3842;11829;28149;824;725;15640;133654
MG;SETUBINHA;512;44;133;802;46;2;64;1603
MG;SILVEIRANIA;474;30;82;349;9;4;65;1013
MG;SILVIANOPOLIS;1642;105;333;660;20;8;188;2956
MG;SIMAO PEREIRA;1406;73;210;249;10;40;201;2189
MG;SIMONESIA;4027;371;1132;4552;57;25;331;10495
MG;SOBRALIA;917;41;144;787;11;2;80;1982
MG;SOLEDADE DE MINAS;1139;61;150;808;5;16;178;2357
MG;TABULEIRO;995;78;162;454;15;2;139;1845
MG;TAIOBEIRAS;7023;948;2296;9692;257;111;2131;22458
MG;TAPARUBA;494;32;81;444;13;0;109;1173
MG;TAPIRA;1134;163;339;372;33;11;174;2226
MG;TAPIRAI;346;21;95;146;10;0;38;656
MG;TAQUARACU DE MINAS;719;119;181;345;20;4;93;1481
MG;TARUMIRIM;2223;166;468;2040;37;12;314;5260
MG;TEIXEIRAS;3131;189;549;2617;19;16;444;6965
MG;TEOFILO OTONI;25964;1661;5572;21697;220;403;6792;62309
MG;TIMOTEO;25139;936;2614;11484;156;273;3786;44388
MG;TIRADENTES;2454;135;499;1283;13;77;580;5041
MG;TIROS;2355;223;780;834;21;23;296;4532
MG;TOCANTINS;4095;292;619;3508;30;34;873;9451
MG;TOCOS DO MOJI;1093;64;354;663;15;4;86;2279
MG;TOLEDO;1655;172;414;855;27;11;157;3291
MG;TOMBOS;2280;155;346;1564;46;14;305;4710
MG;TRES CORACOES;21062;1188;2940;5935;237;228;2701;34291
MG;TRES MARIAS;8536;450;1503;3197;144;39;2114;15983
MG;TRES PONTAS;17405;1122;2671;5016;242;256;2648;29360
MG;TUMIRITINGA;546;40;70;494;13;2;78;1243
MG;TUPACIGUARA;8182;706;1819;2719;105;57;3468;17056
MG;TURMALINA;3503;417;1009;5405;106;33;857;11330
MG;TURVOLANDIA;1410;147;251;692;16;2;151;2669
MG;UBA;30670;2125;4010;22293;210;316;8855;68479
MG;UBAI;823;55;177;1283;57;1;130;2526
MG;UBAPORANGA;2180;222;542;1877;42;9;296;5168
MG;UBERABA;125603;5458;16628;47866;1130;1976;31655;230316
MG;UBERLANDIA;254290;12250;35516;100150;1733;4144;67789;475872
MG;UMBURATIBA;158;13;47;253;8;1;40;520
MG;UNAI;24089;1873;5807;11849;577;253;10676;55124
MG;UNIAO DE MINAS;805;63;193;482;43;2;196;1784
MG;URUANA DE MINAS;385;28;63;292;19;0;56;843
MG;URUCANIA;2041;219;324;955;71;8;264;3882
MG;URUCUIA;894;106;169;1037;52;3;239;2500
MG;VARGEM ALEGRE;817;90;182;1071;21;9;100;2290
MG;VARGEM BONITA;445;46;135;222;11;18;38;915
MG;VARGEM GRANDE DO RIO PARDO;469;69;107;1048;23;1;75;1792
MG;VARGINHA;48829;2342;7019;17111;320;673;8325;84619
MG;VARJAO DE MINAS;1725;107;317;449;68;8;402;3076
MG;VARZEA DA PALMA;5465;544;1254;4893;129;39;2153;14477
MG;VARZELANDIA;1872;75;408;3921;72;5;360;6713
MG;VAZANTE;7601;409;1637;1759;83;42;1269;12800
MG;VERDELANDIA;449;20;114;922;15;1;82;1603
MG;VEREDINHA;799;81;228;1182;26;3;121;2440
MG;VERISSIMO;482;39;123;122;10;4;88;868
MG;VERMELHO NOVO;968;128;228;1353;33;0;88;2798
MG;VESPASIANO;27531;1424;3225;9676;313;175;4148;46492
MG;VICOSA;22645;812;3462;16342;238;452;3623;47574
MG;VIEIRAS;851;48;153;828;10;1;73;1964
MG;VIRGEM DA LAPA;1289;78;401;1850;38;1;163;3820
MG;VIRGINIA;1704;216;442;1224;18;17;272;3893
MG;VIRGINOPOLIS;2217;151;517;1863;40;10;325;5123
MG;VIRGOLANDIA;431;27;115;831;16;3;62;1485
MG;VISCONDE DO RIO BRANCO;10408;1220;1411;8799;96;111;3467;25512
MG;VOLTA GRANDE;954;83;122;348;13;4;173;1697
MG;WENCESLAU BRAZ;552;43;78;221;12;3;47;956
MS;AGUA CLARA;3644;460;1124;1877;128;58;1252;8543
MS;ALCINOPOLIS;891;134;570;908;24;30;313;2870
MS;AMAMBAI;8819;889;2668;4203;94;211;3751;20635
MS;ANASTACIO;4606;512;1252;4653;51;39;1867;12980
MS;ANAURILANDIA;1953;142;534;635;72;24;387;3747
MS;ANGELICA;2959;325;849;1450;85;18;1367;7053
MS;ANTONIO JOAO;1792;152;634;661;33;23;335;3630
MS;APARECIDA DO TABOADO;7236;510;1502;3657;79;83;2879;15946
MS;AQUIDAUANA;7932;447;2006;7297;94;93;2934;20803
MS;ARAL MOREIRA;1325;254;558;458;37;30;373;3035
MS;BANDEIRANTES;1741;247;579;788;56;15;432;3858
MS;BATAGUASSU;7193;522;1473;2131;251;83;1767;13420
MS;BATAYPORA;2710;211;627;1457;42;17;889;5953
MS;BELA VISTA;3817;364;1111;2160;85;75;904;8516
MS;BODOQUENA;1626;118;480;1280;47;17;385;3953
MS;BONITO;4847;385;1705;3525;96;129;1965;12652
MS;BRASILANDIA;3226;307;980;1443;111;47;1056;7170
MS;CAARAPO;6616;721;1804;2566;210;107;3088;15112
MS;CAMAPUA;3270;424;1368;1964;52;48;1142;8268
MS;CAMPO GRANDE;311814;16255;53810;143755;2266;7226;77934;613060
MS;CARACOL;869;85;298;534;20;7;159;1972
MS;CASSILANDIA;6533;524;1939;4735;63;71;2566;16431
MS;CHAPADAO DO SUL;8148;1045;2941;3645;139;295;4674;20887
MS;CORGUINHO;788;71;246;496;32;2;159;1794
MS;CORONEL SAPUCAIA;1750;384;606;556;41;41;400;3778
MS;CORUMBA;20633;1059;3496;11415;282;244;5838;42967
MS;COSTA RICA;6173;600;2090;3517;180;105;2550;15215
MS;COXIM;7309;721;2419;7117;98;134;4070;21868
MS;DEODAPOLIS;3711;324;893;1953;119;28;932;7960
MS;DOIS IRMAOS DO BURITI;1749;187;431;1263;40;5;352;4027
MS;DOURADINA;1633;318;476;930;31;6;838;4232
MS;DOURADOS;73458;4647;16075;34527;524;1576;30684;161491
MS;ELDORADO;3029;287;710;1248;46;55;1286;6661
MS;FATIMA DO SUL;6103;510;1440;3043;50;65;2499;13710
MS;FIGUEIRAO;478;66;273;349;9;6;126;1307
MS;GLORIA DE DOURADOS;3235;224;762;1496;34;25;863;6639
MS;GUIA LOPES DA LAGUNA;2304;229;685;1741;33;15;732;5739
MS;IGUATEMI;3427;310;806;1718;86;34;1117;7498
MS;INOCENCIA;2327;237;797;1067;52;29;528;5037
MS;ITAPORA;4564;530;1424;2325;53;59;2208;11163
MS;ITAQUIRAI;4104;301;769;2339;136;34;971;8654
MS;IVINHEMA;7678;791;2020;3808;303;128;3866;18594
MS;JAPORA;761;56;219;517;29;6;139;1727
MS;JARAGUARI;1009;106;363;434;21;7;173;2113
MS;JARDIM;6001;577;1762;3619;77;87;2310;14433
MS;JATEI;967;68;262;516;50;13;182;2058
MS;JUTI;1468;120;404;663;37;18;300;3010
MS;LADARIO;4526;194;528;2060;69;25;1029;8431
MS;LAGUNA CARAPA;1360;247;599;591;37;26;501;3361
MS;MARACAJU;10051;1313;3963;3850;179;308;6169;25833
MS;MIRANDA;4155;415;1201;3100;141;49;1306;10367
MS;MUNDO NOVO;5052;338;1001;1771;33;95;2295;10585
MS;NAVIRAI;14315;1129;3015;7716;203;268;6489;33135
MS;NIOAQUE;2777;231;703;2037;74;19;492;6333
MS;NOVA ALVORADA DO SUL;4928;445;1085;1871;85;58;1833;10305
MS;NOVA ANDRADINA;15293;1215;3464;7657;300;185;6350;34464
MS;NOVO HORIZONTE DO SUL;1348;95;312;1019;27;2;352;3155
MS;PARAISO DAS AGUAS;819;110;385;220;27;19;337;1917
MS;PARANAIBA;12733;940;3427;8794;131;124;5994;32143
MS;PARANHOS;1153;126;381;442;41;18;277;2438
MS;PEDRO GOMES;1316;136;589;1325;21;17;524;3928
MS;PONTA PORA;23698;2306;6114;5968;396;643;6015;45140
MS;PORTO MURTINHO;1155;99;345;1106;34;10;377;3126
MS;RIBAS DO RIO PARDO;3874;683;1389;2537;108;60;1710;10361
MS;RIO BRILHANTE;7950;785;2068;3241;163;122;4359;18688
MS;RIO NEGRO;1126;104;405;872;11;7;264;2789
MS;RIO VERDE DE MATO GROSSO;4207;447;1432;2984;43;62;1845;11020
MS;ROCHEDO;1035;82;329;489;15;15;184;2149
MS;SANTA RITA DO PARDO;1574;169;539;746;50;25;257;3360
MS;SAO GABRIEL DO OESTE;7830;1147;2755;3523;117;204;5196;20772
MS;SELVIRIA;2463;125;444;676;37;17;550;4312
MS;SETE QUEDAS;1869;291;577;1282;28;32;721;4800
MS;SIDROLANDIA;8797;801;2291;4464;351;103;3334;20141
MS;SONORA;2857;290;884;2788;120;29;1957;8925
MS;TACURU;1312;144;314;662;29;11;272;2744
MS;TAQUARUSSU;836;68;235;402;21;8;236;1806
MS;TERENOS;2932;408;848;1743;77;26;815;6849
MS;TRES LAGOAS;39757;2146;7705;21750;429;649;17590;90026
MS;VICENTINA;1767;177;472;1104;117;18;562;4217
MT;ACORIZAL;522;28;154;466;3;6;142;1321
MT;AGUA BOA;4860;769;2345;5201;63;94;4320;17652
MT;ALTA FLORESTA;12210;1614;5318;17052;164;265;10334;46957
MT;ALTO ARAGUAIA;3139;273;1165;2025;43;38;1359;8042
MT;ALTO BOA VISTA;465;78;312;1123;8;5;423;2414
MT;ALTO GARCAS;2213;332;936;1367;65;45;1712;6670
MT;ALTO PARAGUAI;694;51;207;907;8;4;365;2236
MT;ALTO TAQUARI;1801;298;659;844;32;36;930;4600
MT;APIACAS;650;176;496;1989;14;20;988;4333
MT;ARAGUAIANA;248;27;99;254;6;3;151;788
MT;ARAGUAINHA;67;12;38;40;1;0;25;183
MT;ARAPUTANGA;3270;315;915;4082;35;34;1964;10615
MT;ARENAPOLIS;2133;260;700;2100;73;32;1473;6771
MT;ARIPUANA;1637;532;1435;5360;67;58;1905;10994
MT;BARAO DE MELGACO;267;28;141;332;7;3;134;912
MT;BARRA DO BUGRES;4900;679;1629;5758;184;83;4129;17362
MT;BARRA DO GARCAS;14937;1090;4031;15950;270;284;10786;47348
MT;BOM JESUS DO ARAGUAIA;725;116;374;1269;25;4;412;2925
MT;BRASNORTE;2049;439;1141;2706;74;42;1558;8009
MT;CACERES;16155;1198;4255;19375;401;249;10304;51937
MT;CAMPINAPOLIS;1086;165;687;2349;29;11;532;4859
MT;CAMPO NOVO DO PARECIS;8048;1053;3223;5135;220;217;6569;24465
MT;CAMPO VERDE;9472;1182;3588;6249;190;203;7171;28055
MT;CAMPOS DE JULIO;1155;411;509;754;53;55;1230;4167
MT;CANABRAVA DO NORTE;423;57;181;1020;12;2;254;1949
MT;CANARANA;3904;700;2197;3686;47;148;3273;13955
MT;CARLINDA;1532;187;564;2289;30;13;790;5405
MT;CASTANHEIRA;874;196;637;2677;38;18;449;4889
MT;CHAPADA DOS GUIMARAES;3493;268;1253;2338;63;90;1134;8639
MT;CLAUDIA;1759;476;932;2338;34;47;1786;7372
MT;COCALINHO;259;73;123;363;11;1;189;1019
MT;COLIDER;7175;985;2872;7357;148;143;6053;24733
MT;COLNIZA;1626;546;1215;7635;36;59;1373;12490
MT;COMODORO;3006;747;1208;3451;111;48;2059;10630
MT;CONFRESA;3492;452;1673;5629;78;57;2551;13932
MT;CONQUISTA D'OESTE;513;78;203;792;16;6;288;1896
MT;COTRIGUACU;883;193;597;2845;45;20;537;5120
MT;CUIABA;215781;10975;42520;97358;3331;5799;60436;436200
MT;CURVELANDIA;762;128;277;1039;24;2;416;2648
MT;DENISE;1319;106;338;955;37;6;731;3492
MT;DIAMANTINO;4225;672;1682;4270;110;81;3771;14811
MT;DOM AQUINO;1308;143;484;1522;34;17;587;4095
MT;FELIZ NATAL;1368;327;669;1535;29;28;1400;5356
MT;FIGUEIROPOLIS D'OESTE;603;79;245;1157;11;5;244;2344
MT;GAUCHA DO NORTE;699;190;689;967;33;27;717;3322
MT;GENERAL CARNEIRO;273;35;134;256;10;2;196;906
MT;GLORIA D'OESTE;629;79;194;606;19;3;214;1744
MT;GUARANTA DO NORTE;5947;1086;3286;8852;111;117;4741;24140
MT;GUIRATINGA;2157;227;989;1797;19;26;1102;6317
MT;INDIAVAI;274;29;97;410;8;1;107;926
MT;IPIRANGA DO NORTE;1174;210;634;821;19;34;987;3879
MT;ITANHANGA;970;228;505;1006;17;30;651;3407
MT;ITAUBA;903;148;351;826;17;18;741;3004
MT;ITIQUIRA;1495;205;664;1334;87;26;909;4720
MT;JACIARA;6975;735;2012;5525;171;113;8153;23684
MT;JANGADA;1106;81;350;979;22;3;334;2875
MT;JAURU;1860;177;597;2971;48;12;556;6221
MT;JUARA;5334;1041;3132;9629;97;164;4293;23690
MT;JUINA;7076;1209;3565;13100;104;193;6688;31935
MT;JURUENA;988;234;570;2985;22;24;899;5722
MT;JUSCIMEIRA;1753;178;577;1468;79;14;927;4996
MT;LAMBARI D'OESTE;728;108;269;1068;35;5;360;2573
MT;LUCAS DO RIO VERDE;16307;2099;5956;11981;201;537;14768;51849
MT;LUCIARA;105;14;73;362;3;2;80;639
MT;MARCELANDIA;1777;476;967;2911;29;28;1609;7797
MT;MATUPA;3513;508;1764;3441;59;81;2836;12202
MT;MIRASSOL D'OESTE;6286;989;2279;6126;109;84;4258;20131
MT;NOBRES;2875;380;916;3241;60;31;2106;9609
MT;NORTELANDIA;1073;93;327;1165;26;7;555;3246
MT;NOSSA SENHORA DO LIVRAMENTO;1303;161;511;1188;41;4;312;3520
