UF;Municipio;Automóvel;Caminhão;Caminhonete;Motocicleta;Ônibus;Utilitário;Outros;Total
SE;POCO VERDE;2290;138;412;2878;129;14;572;6433
SE;PORTO DA FOLHA;1419;140;331;2885;40;5;325;5145
SE;PROPRIA;3170;258;536;5360;67;26;2013;11430
SE;RIACHAO DO DANTAS;1065;34;184;1699;21;1;276;3280
SE;RIACHUELO;749;43;70;404;10;3;173;1452
SE;RIBEIROPOLIS;2054;284;453;2761;77;18;1495;7142
SE;ROSARIO DO CATETE;1079;46;86;568;18;3;345;2145
SE;SALGADO;1853;145;348;2453;157;7;730;5693
SE;SANTA LUZIA DO ITANHY;732;30;70;644;32;2;296;1806
SE;SANTA ROSA DE LIMA;332;25;48;307;10;0;72;794
SE;SANTANA DO SAO FRANCISCO;235;13;43;600;11;1;112;1015
SE;SANTO AMARO DAS BROTAS;1134;24;118;687;20;7;352;2342
SE;SAO CRISTOVAO;12355;462;1373;7478;324;60;3494;25546
SE;SAO DOMINGOS;835;159;128;1268;27;4;429;2850
SE;SAO FRANCISCO;339;25;49;245;29;1;100;788
SE;SAO MIGUEL DO ALEIXO;253;45;51;439;7;0;96;891
SE;SIMAO DIAS;4447;283;811;8177;334;25;1724;15801
SE;SIRIRI;703;36;92;478;138;1;143;1591
SE;TELHA;282;20;32;436;7;0;103;880
SE;TOBIAS BARRETO;4745;373;912;9533;280;60;2314;18217
SE;TOMAR DO GERU;777;61;121;1464;19;1;125;2568
SE;UMBAUBA;2498;321;407;3570;49;17;1298;8160
SP;ADAMANTINA;15280;754;2524;4602;88;164;4489;27901
SP;ADOLFO;1450;65;223;370;28;9;331;2476
SP;AGUAI;11562;966;1571;4790;220;94;2868;22071
SP;AGUAS DA PRATA;2884;132;473;819;15;46;458;4827
SP;AGUAS DE LINDOIA;7799;201;983;3126;104;133;1257;13603
SP;AGUAS DE SANTA BARBARA;2565;143;427;563;36;19;520;4273
SP;AGUAS DE SAO PEDRO;1784;43;237;280;6;35;318;2703
SP;AGUDOS;13191;589;1625;3838;120;91;2848;22302
SP;ALAMBARI;1315;102;238;646;9;9;247;2566
SP;ALFREDO MARCONDES;1497;76;304;402;8;3;184;2474
SP;ALTAIR;1102;72;152;164;37;5;111;1643
SP;ALTINOPOLIS;6452;420;1055;816;126;105;1211;10185
SP;ALTO ALEGRE;1323;104;318;433;44;5;291;2518
SP;ALUMINIO;6229;258;540;1155;56;22;628;8888
SP;ALVARES FLORENCE;1153;58;226;321;18;3;231;2010
SP;ALVARES MACHADO;8563;522;1412;3590;35;77;1566;15765
SP;ALVARO DE CARVALHO;957;37;107;209;28;1;87;1426
SP;ALVINLANDIA;959;50;158;199;16;3;124;1509
SP;AMERICANA;115848;3479;14736;27679;577;2133;19792;184244
SP;AMERICO BRASILIENSE;14141;715;1497;5331;220;58;3406;25368
